trial, dist, RT, interstim, Brightness, NumberofLED
1,-15,344,591,15,3
2,15,371,771,15,1
3,-45,316,679,15,3
4,0,286,375,15,3
5,-45,220,575,15,3
6,0,203,493,15,1
7,-30,234,494,15,3
8,-15,212,496,15,3
9,-45,0,777,15,1
10,15,0,424,15,1
11,-30,412,736,15,1
12,15,269,778,15,1
13,0,243,760,15,1
14,0,289,323,15,3
15,15,261,303,15,1
16,45,397,575,15,1
17,-15,313,458,15,3
18,-45,360,530,15,3
19,-15,329,428,15,1
20,0,257,358,15,1
21,-15,0,655,15,1
22,45,0,455,15,3
23,30,471,778,15,3
24,15,342,719,15,3
25,-30,422,797,15,3
26,15,356,405,15,1
27,15,255,667,15,1
28,-30,273,625,15,3
29,45,380,695,15,3
30,-30,334,699,15,1
31,-45,0,332,15,3
32,-30,271,549,15,3
33,0,293,518,15,3
34,0,136,635,15,1
35,15,204,677,15,1
36,30,274,462,15,1
37,30,0,382,15,3
38,-15,0,780,15,1
39,0,309,629,15,3
40,45,521,798,15,3
41,45,361,741,15,3
42,0,234,467,15,3
43,45,254,580,15,1
44,30,0,349,15,1
45,45,440,552,15,1
46,15,570,353,15,1
47,-30,331,349,15,3
48,-15,273,585,15,1
49,-45,315,526,15,1
50,-30,310,476,15,3
51,0,0,659,15,3
52,-15,272,493,15,1
53,30,0,513,15,3
54,0,214,681,15,1
55,-30,441,549,15,3
56,45,332,438,15,1
57,45,0,481,15,1
58,15,216,367,15,1
59,15,213,609,15,1
60,45,0,382,15,3
61,0,179,637,15,1
62,15,309,459,15,3
63,0,250,488,15,1
64,-15,236,575,15,1
65,45,454,546,15,3
66,-45,418,412,15,1
67,0,271,620,15,1
68,45,339,505,15,1
69,-45,0,499,15,1
70,-45,387,765,15,3
71,-15,287,703,15,1
72,30,0,783,15,1
73,0,264,494,15,3
74,45,244,396,15,1
75,-15,464,658,15,3
76,30,256,560,15,1
77,-45,375,374,15,3
78,-45,238,631,15,3
79,30,279,420,15,1
80,0,244,447,15,3
81,-30,0,632,15,1
82,15,246,327,15,3
83,-45,252,424,15,3
84,-45,394,665,15,1
85,-30,371,611,15,1
86,45,331,653,15,1
87,30,259,755,15,3
88,0,257,601,15,3
89,45,199,672,15,1
90,-15,0,744,15,3
91,-30,213,450,15,3
92,-15,0,711,15,1
