trial, dist, RT, interstim, Brightness, NumberofLED
1, -45, 395, 653, 15,0
2, -30, 0, 751, 15,0
3, 0, 700, 477, 15,0
4, -30, 0, 473, 15,0
5, -45, 501, 610, 15,0
6, -45, 894, 537, 15,0
7, 45, 0, 345, 15,0
8, -15, 589, 631, 15,0
9, -45, 414, 500, 15,0
10, 15, 0, 353, 15,0
11, -15, 0, 348, 15,0
12, 0, 285, 494, 15,0
13, -15, 432, 708, 15,0
14, 15, 762, 673, 15,0
15, -15, 363, 616, 15,0
16, 0, 329, 686, 15,0
17, 30, 351, 685, 15,0
18, -30, 439, 680, 15,0
19, 0, 574, 480, 15,0
20, 30, 465, 604, 15,0
21, 30, 359, 664, 15,0
22, 45, 394, 756, 15,0
23, -30, 390, 383, 15,0
24, -45, 427, 438, 15,0
25, 0, 296, 530, 15,0
26, -30, 435, 434, 15,0
27, -30, 350, 539, 15,0
28, -30, 541, 517, 15,0
29, 0, 292, 380, 15,0
30, 0, 302, 638, 15,0
31, 15, 268, 616, 15,0
32, 30, 436, 560, 15,0
33, -15, 420, 732, 15,0
34, 30, 368, 797, 15,0
35, 45, 690, 533, 15,0
36, -30, 378, 730, 15,0
37, -45, 556, 532, 15,0
38, 0, 295, 748, 15,0
39, -15, 418, 773, 15,0
40, 30, 387, 761, 15,0
41, 30, 541, 342, 15,0
42, 45, 492, 753, 15,0
43, -15, 381, 442, 15,0
44, 30, 388, 758, 15,0
45, -15, 287, 646, 15,0
46, -30, 395, 497, 15,0
47, 15, 0, 475, 15,0
48, -30, 294, 535, 15,0
49, -30, 295, 580, 15,0
50, -30, 386, 683, 15,0
51, -45, 836, 463, 15,0
52, -15, 533, 676, 15,0
53, 30, 334, 775, 15,0
54, 15, 556, 366, 15,0
55, -15, 0, 318, 15,0
56, -30, 405, 799, 15,0
57, -45, 473, 741, 15,0
58, 30, 0, 381, 15,0
59, 30, 354, 354, 15,0
60, 0, 277, 564, 15,0
61, 0, 0, 311, 15,0
62, -45, 522, 690, 15,0
63, -15, 278, 505, 15,0
64, 30, 368, 558, 15,0
65, 0, 261, 496, 15,0
66, 45, 481, 461, 15,0
67, 30, 427, 739, 15,0
68, 30, 483, 503, 15,0
69, 15, 363, 734, 15,0
70, -15, 485, 789, 15,0
71, -45, 329, 341, 15,0
72, -45, 467, 318, 15,0
73, 0, 0, 491, 15,0
74, 0, 434, 646, 15,0
75, -30, 316, 680, 15,0
76, -45, 402, 486, 15,0
77, 0, 268, 499, 15,0
78, 30, 308, 501, 15,0
79, 0, 235, 455, 15,0
80, -30, 363, 642, 15,0
81, 45, 362, 422, 15,0
82, 15, 359, 739, 15,0
83, 45, 349, 438, 15,0
84, -30, 443, 498, 15,0
85, -45, 248, 461, 15,0
86, -15, 485, 345, 15,0
87, -45, 282, 730, 15,0
88, -15, 461, 367, 15,0
89, 30, 299, 408, 15,0
90, -45, 573, 580, 15,0
91, 30, 430, 523, 15,0
92, -15, 362, 330, 15,0
93, 0, 432, 674, 15,0
94, -30, 369, 568, 15,0
95, 0, 401, 682, 15,0
96, 15, 354, 629, 15,0
97, 0, 315, 693, 15,0
98, -45, 484, 518, 15,0
99, 30, 512, 777, 15,0
100, 15, 299, 558, 15,0
101, 30, 343, 726, 15,0
102, -30, 0, 734, 15,0
103, 45, 564, 388, 15,0
104, 45, 598, 674, 15,0
105, 0, 321, 680, 15,0
106, 0, 289, 512, 15,0
107, -15, 297, 661, 15,0
108, -30, 387, 606, 15,0
109, 15, 534, 683, 15,0
110, -45, 366, 329, 15,0
111, 15, 507, 625, 15,0
