Trial,Ecc,RT,IT,Brightness,Stim ID
0,-15,349,572,15,1
1,45,605,418,15,1
2,-30,434,338,15,1
3,0,439,628,15,1
4,-45,430,766,15,1
5,-45,450,475,15,1
6,15,474,559,15,3
7,-30,549,375,15,1
8,45,575,659,15,3
9,45,602,328,15,1
10,-30,488,538,15,3
11,15,452,607,15,3
12,-45,499,691,15,3
13,-45,556,481,15,1
14,-30,496,388,15,1
15,45,474,758,15,3
16,45,452,621,15,3
17,45,421,552,15,3
18,0,436,502,15,3
19,0,438,505,15,3
20,15,439,402,15,3
21,45,516,429,15,1
22,45,442,669,15,1
23,15,507,475,15,1
24,-30,365,489,15,3
25,45,462,550,15,3
26,-45,442,499,15,3
27,15,431,743,15,3
28,-15,398,407,15,3
29,-15,487,339,15,3
30,15,423,761,15,1
31,30,368,336,15,3
32,15,345,744,15,3
33,-45,548,301,15,1
34,15,365,321,15,1
35,-45,593,371,15,1
36,-45,450,413,15,1
37,-45,442,500,15,3
38,30,554,433,15,3
39,45,467,425,15,3
40,-30,474,773,15,3
41,-30,562,772,15,3
42,-45,608,795,15,1
43,45,605,603,15,1
44,45,559,428,15,3
45,-15,324,784,15,3
46,0,321,571,15,3
47,30,379,517,15,1
48,-45,558,533,15,3
49,-15,323,418,15,3
50,-30,512,383,15,3
51,-15,377,544,15,3
52,30,470,794,15,3
53,0,423,561,15,3
54,0,472,423,15,1
55,45,506,602,15,1
56,-15,328,482,15,3
57,-30,556,656,15,1
58,-30,451,747,15,3
59,45,532,693,15,1
60,-30,540,697,15,3
61,-15,454,409,15,3
62,15,477,310,15,1
63,45,488,496,15,3
64,-30,419,761,15,1
65,-15,447,799,15,3
66,-45,484,582,15,1
67,30,493,473,15,1
68,45,426,771,15,3
69,-45,485,420,15,1
70,30,549,520,15,3
71,30,443,469,15,3
72,30,428,497,15,3
73,-30,441,733,15,3
74,30,373,763,15,3
75,45,578,777,15,3
76,15,410,310,15,1
77,45,550,651,15,3
78,15,474,700,15,3
79,-30,375,380,15,1
80,-45,570,647,15,1
81,30,536,352,15,3
82,-45,509,556,15,1
83,0,328,664,15,3
84,-45,539,332,15,1
85,0,422,756,15,1
86,0,343,742,15,1
87,45,581,370,15,1
88,30,512,559,15,3
89,45,411,709,15,1
90,0,287,623,15,1
91,0,295,428,15,3
92,0,464,723,15,3
93,-15,360,395,15,3
94,0,474,586,15,3
95,-30,560,567,15,1
96,-15,507,624,15,3
97,-15,417,636,15,3
98,0,399,665,15,3
99,45,479,708,15,1
100,30,434,303,15,1
101,0,304,301,15,3
102,15,393,678,15,3
103,0,333,457,15,1
104,-15,401,530,15,1
105,-30,453,447,15,3
106,30,385,473,15,1
107,-15,345,565,15,3
108,30,558,785,15,3
109,45,556,549,15,1
110,-15,396,442,15,1
111,30,433,544,15,1
112,-45,517,734,15,1
113,30,465,624,15,1
114,-30,397,589,15,1
115,-15,329,303,15,1
116,30,374,641,15,3
117,0,373,514,15,3
118,-30,404,435,15,1
119,-15,327,378,15,3
120,45,557,717,15,3
121,30,472,463,15,1
122,-45,517,781,15,1
123,-30,515,581,15,3
124,45,564,776,15,3
125,30,389,388,15,3
126,30,442,413,15,1
127,30,422,363,15,3
128,-45,455,690,15,3
129,-15,432,373,15,1
130,-45,548,700,15,1
131,0,436,352,15,3
132,-45,454,702,15,1
133,-15,414,692,15,3
134,-15,473,458,15,3
135,30,369,377,15,1
136,30,466,793,15,3
137,45,573,553,15,3
138,45,424,579,15,3
139,-45,549,708,15,3
140,45,485,305,15,3
141,0,326,566,15,1
142,45,493,631,15,3
143,-45,532,700,15,3
144,30,466,485,15,3
145,0,286,563,15,1
146,15,358,392,15,1
147,0,386,382,15,3
148,45,463,567,15,3
149,30,556,477,15,1
150,-45,539,717,15,3
151,-45,437,554,15,3
152,0,411,541,15,3
153,45,466,624,15,3
154,-30,509,650,15,3
155,45,443,653,15,1
156,-15,483,307,15,3
157,30,374,421,15,1
158,-15,325,654,15,1
159,-30,523,594,15,3
160,15,488,349,15,3
161,-15,435,511,15,1
162,-45,410,617,15,1
163,-15,434,595,15,1
164,45,571,619,15,1
165,15,345,336,15,3
166,15,493,372,15,1
167,30,485,611,15,1
168,-30,383,371,15,1
169,-30,457,588,15,3
170,15,355,760,15,1
171,45,530,614,15,3
172,-15,431,372,15,1
173,-15,340,578,15,3
174,-30,481,561,15,3
175,-30,545,747,15,1
176,-15,428,611,15,1
177,-15,446,443,15,1
178,-15,484,333,15,1
179,-15,449,559,15,3
180,0,398,610,15,1
181,45,534,734,15,3
182,-15,457,476,15,1
183,45,585,712,15,3
184,0,377,706,15,3
185,30,460,468,15,3
186,-30,442,402,15,3
187,15,390,752,15,1
188,45,521,390,15,1
189,30,426,426,15,1
190,-30,493,560,15,1
191,30,412,507,15,3
192,-45,601,514,15,1
193,-15,372,331,15,1
194,0,448,539,15,3
195,0,328,636,15,3
196,-30,464,465,15,3
197,0,446,493,15,1
198,0,434,330,15,3
199,0,337,673,15,1
200,-15,388,359,15,3
201,-15,503,567,15,3
202,-15,333,418,15,1
203,30,472,704,15,1
204,-30,441,320,15,1
205,15,480,470,15,3
206,30,378,515,15,3
207,0,279,465,15,1
208,-15,479,354,15,1
209,45,524,467,15,1
210,-15,382,412,15,1
211,0,277,580,15,1
212,45,609,741,15,3
213,45,567,349,15,3
214,-30,550,405,15,3
215,0,298,532,15,1
216,15,427,597,15,1
217,0,473,431,15,1
218,-45,471,699,15,1
219,-30,558,309,15,1
220,-15,499,696,15,1
221,-30,495,695,15,3
222,-30,441,772,15,3
223,-15,509,412,15,3
224,-30,444,796,15,3
225,45,573,401,15,3
226,-45,566,706,15,1
227,15,444,623,15,1
228,30,548,465,15,1
229,45,466,636,15,1
230,15,445,553,15,3

