trial,dist,RT,interstim,Brightness,NumberofLED
1,-30,319,662,15,0
2,-45,360,579,15,0
3,45,351,405,15,0
4,30,288,520,15,0
5,-45,0,684,15,0
6,15,244,527,15,0
7,0,159,660,15,0
8,15,193,757,15,0
9,0,0,337,15,0
10,-15,255,415,15,0
11,-30,283,351,15,0
12,45,315,523,15,0
13,45,308,657,15,0
14,45,358,735,15,0
15,30,290,330,15,0
16,-30,324,648,15,0
17,45,311,751,15,0
18,15,282,720,15,0
19,-15,275,531,15,0
20,-15,241,320,15,0
21,30,205,395,15,0
22,30,260,532,15,0
23,-15,228,623,15,0
24,45,279,456,15,0
25,-45,0,363,15,0
26,45,300,381,15,0
27,-15,333,484,15,0
28,-15,287,589,15,0
29,-45,382,423,15,0
30,30,418,709,15,0
31,-15,363,613,15,0
32,15,0,623,15,0
33,15,328,306,15,0
34,0,270,660,15,0
35,15,298,651,15,0
36,-15,265,605,15,0
37,30,310,739,15,0
38,-45,270,715,15,0
39,30,284,694,15,0
40,-15,282,515,15,0
41,45,294,609,15,0
42,-15,287,531,15,0
43,45,439,737,15,0
44,-30,284,340,15,0
45,30,293,727,15,0
46,-15,320,559,15,0
47,0,319,428,15,0
48,-15,201,643,15,0
49,-45,0,483,15,0
50,-15,380,532,15,0
51,45,342,709,15,0
52,-15,281,323,15,0
53,30,340,312,15,0
54,45,324,345,15,0
55,-45,380,484,15,0
56,-45,341,694,15,0
57,45,319,394,15,0
58,0,275,376,15,0
59,45,339,382,15,0
60,15,323,791,15,0
61,-30,300,541,15,0
62,-15,234,594,15,0
63,0,306,380,15,0
64,30,379,715,15,0
65,0,232,617,15,0
66,45,362,401,15,0
67,15,262,794,15,0
68,30,350,491,15,0
69,-15,249,355,15,0
70,0,253,742,15,0
71,-30,0,681,15,0
72,15,259,411,15,0
73,-15,298,457,15,0
74,-15,263,668,15,0
75,45,340,627,15,0
76,0,186,308,15,0
77,-30,316,565,15,0
78,45,405,485,15,0
79,-45,320,522,15,0
80,45,366,329,15,0
81,-15,310,346,15,0
82,15,423,631,15,0
83,-15,283,561,15,0
84,-15,263,371,15,0
85,15,301,427,15,0
86,30,364,690,15,0
87,45,318,621,15,0
88,30,361,409,15,0
89,15,303,301,15,0
90,0,219,494,15,0
91,15,322,666,15,0
92,-15,299,590,15,0
93,45,386,720,15,0
94,-30,233,559,15,0
95,45,366,774,15,0
96,30,403,646,15,0
97,45,276,455,15,0
98,-15,308,635,15,0
99,-45,297,407,15,0
100,-45,296,548,15,0
101,15,267,360,15,0
102,0,213,799,15,0
103,0,208,519,15,0
104,0,177,794,15,0
105,15,325,468,15,0
106,45,372,377,15,0
107,45,435,629,15,0
108,30,236,701,15,0
109,30,256,617,15,0
110,-45,420,797,15,0
111,45,359,556,15,0
112,0,269,603,15,0
113,45,357,770,15,0
114,45,342,378,15,0
115,-15,269,694,15,0
116,0,226,693,15,0
117,-45,472,411,15,0
118,-15,394,450,15,0
119,-45,533,797,15,0
120,45,376,535,15,0
121,-15,282,317,15,0
122,-30,329,593,15,0
123,-15,358,443,15,0
124,-30,276,422,15,0
125,-30,363,615,15,0
126,0,239,368,15,0
127,-30,236,573,15,0
128,45,369,660,15,0
129,45,357,386,15,0
130,45,0,335,15,0
131,-15,297,336,15,0
132,-30,0,422,15,0
133,30,292,752,15,0
134,15,325,418,15,0
135,0,232,507,15,0
136,30,322,520,15,0
137,-15,285,543,15,0
138,15,0,747,15,0
139,0,241,576,15,0
140,45,0,560,15,0
141,-15,304,458,15,0
142,45,367,556,15,0
143,15,332,380,15,0
144,-30,293,381,15,0
145,30,300,743,15,0
146,15,346,584,15,0
147,15,326,634,15,0
148,-15,0,688,15,0
149,45,363,317,15,0
150,30,317,674,15,0
151,30,339,706,15,0
152,-15,331,535,15,0
153,-15,280,328,15,0
154,-30,296,347,15,0
155,-45,324,777,15,0
156,15,334,527,15,0
157,0,247,650,15,0
158,-30,291,622,15,0
159,0,223,397,15,0
160,15,303,421,15,0
162,15,280,551,15,0
163,45,297,429,15,0
164,45,353,753,15,0
165,-30,295,305,15,0
166,0,272,711,15,0
167,15,318,633,15,0
168,15,301,411,15,0
169,30,349,615,15,0
170,0,197,744,15,0
171,30,371,513,15,0
172,-15,200,531,15,0
173,-15,351,305,15,0
174,-15,234,689,15,0
175,45,0,618,15,0
176,-15,248,311,15,0
177,-45,0,341,15,0
178,30,346,770,15,0
179,15,392,755,15,0
180,-45,286,741,15,0
181,15,302,363,15,0
182,-30,312,456,15,0
183,15,360,609,15,0
184,0,175,625,15,0
185,-30,345,642,15,0
186,-15,285,652,15,0
187,15,358,735,15,0
188,-30,297,590,15,0
189,30,347,302,15,0
190,15,217,379,15,0
191,15,278,605,15,0
192,15,277,708,15,0
193,0,281,749,15,0
194,30,345,617,15,0
195,15,297,725,15,0
196,-45,282,687,15,0
197,30,0,610,15,0
198,-30,304,681,15,0
199,-45,340,796,15,0
200,0,280,562,15,0
201,-30,293,550,15,0
202,0,237,554,15,0
203,45,0,634,15,0
204,-15,430,370,15,0
205,-15,219,493,15,0
206,30,0,436,15,0
207,15,196,665,15,0
208,-15,269,307,15,0
209,-15,330,625,15,0
210,0,211,790,15,0
211,30,299,744,15,0
212,30,227,635,15,0
213,30,345,537,15,0
214,15,331,578,15,0
215,45,304,417,15,0
216,-15,281,462,15,0
