trial,dist,RT,interstim,Brightness,NumberofLED
1,-15,164,742,15,3
2,-45,236,568,15,3
3,-30,208,706,15,3
4,15,0,712,15,1
5,45,219,514,15,1
6,-30,302,404,15,1
7,-15,232,641,15,3
8,-45,292,644,15,1
9,-30,380,734,15,1
10,45,466,468,15,1
11,45,203,616,15,1
12,15,277,444,15,1
13,30,0,503,15,3
14,15,245,709,15,1
15,-30,174,571,15,3
16,-15,311,536,15,1
17,0,314,463,15,1
18,30,284,656,15,1
19,-45,336,685,15,1
20,15,179,498,15,1
21,-45,222,660,15,3
22,30,0,385,15,3
23,-30,419,355,15,1
24,-30,256,564,15,3
25,0,324,762,15,1
26,-45,215,510,15,3
27,-45,135,599,15,3
28,0,235,478,15,1
29,30,0,547,15,3
30,15,392,437,15,3
31,0,231,391,15,3
32,45,370,613,15,1
33,45,267,374,15,1
34,-30,109,695,15,3
35,0,246,537,15,3
36,45,0,770,15,1
37,15,234,303,15,1
38,-45,0,470,15,1
39,15,223,533,15,1
40,-15,231,339,15,3
41,45,189,391,15,1
42,-15,134,726,15,3
43,-15,292,336,15,3
44,45,0,413,15,3
45,-45,0,630,15,1
46,-45,267,680,15,3
47,15,146,313,15,1
48,0,285,662,15,3
49,45,0,696,15,3
50,15,393,790,15,3
51,-45,318,505,15,1
52,-15,529,447,15,1
53,45,389,648,15,1
54,15,421,341,15,3
55,15,390,585,15,1
56,-30,147,639,15,3
57,45,288,313,15,1
58,45,565,527,15,3
59,-15,253,477,15,3
60,0,188,427,15,3
61,15,245,528,15,3
62,-15,330,339,15,3
63,0,254,647,15,1
64,-30,0,659,15,1
65,-30,332,309,15,3
66,45,0,477,15,3
67,0,245,376,15,1
68,15,0,612,15,1
69,-30,382,332,15,1
70,45,314,319,15,1
71,45,295,646,15,1
72,-30,309,779,15,1
73,-45,328,533,15,1
74,30,268,315,15,1
75,-30,0,543,15,1
76,15,372,731,15,1
77,-45,313,469,15,1
78,-45,268,676,15,1
79,-30,183,691,15,3
80,-45,595,398,15,3
81,30,379,337,15,3
82,15,256,474,15,1
83,-45,331,321,15,1
84,30,0,450,15,1
85,30,406,356,15,3
86,-45,341,425,15,1
87,-45,307,672,15,1
88,0,263,759,15,3
89,-30,474,323,15,3
90,-45,286,305,15,1
91,30,201,525,15,3
92,0,322,582,15,1
93,-30,267,749,15,3
94,0,192,558,15,3
95,-45,312,798,15,1
96,0,187,636,15,3
97,-15,0,567,15,3
98,-45,0,718,15,1
99,-15,283,645,15,3
100,0,198,314,15,3
101,-15,372,707,15,1
102,-15,328,425,15,3
103,-30,306,377,15,1
104,0,341,443,15,1
105,-30,314,399,15,1
106,15,407,591,15,3
107,30,0,712,15,1
108,0,279,332,15,1
109,30,379,593,15,3
110,0,255,769,15,3
111,30,256,421,15,1
112,-45,436,332,15,1
113,45,375,529,15,3
114,45,361,763,15,1
115,-45,269,451,15,1
116,15,345,645,15,3
117,-45,758,604,15,1
118,-15,334,490,15,3
119,15,212,377,15,3
120,-15,278,375,15,3
121,0,203,387,15,3
122,15,0,746,15,1
123,30,250,475,15,3
124,-15,0,592,15,3
125,45,304,438,15,3
126,30,241,502,15,3
127,30,285,778,15,3
128,0,242,654,15,1
129,45,604,356,15,3
130,30,360,390,15,1
131,-30,300,765,15,3
132,45,327,509,15,1
133,-30,364,540,15,3
134,0,235,742,15,3
135,15,0,447,15,1
136,-30,473,779,15,3
137,-30,329,317,15,1
138,15,255,369,15,3
139,0,243,727,15,3
140,45,430,623,15,1
141,-45,238,759,15,3
142,0,197,353,15,3
143,0,212,499,15,1
144,15,356,346,15,3
145,30,276,531,15,3
146,0,242,644,15,1
147,15,225,315,15,1
148,30,294,676,15,1
149,15,331,778,15,3
150,30,345,591,15,3
151,-15,216,745,15,3
152,15,0,481,15,1
153,-45,0,754,15,1
154,-45,0,549,15,1
155,-30,272,382,15,1
156,-15,344,376,15,3
157,15,217,339,15,1
158,0,213,453,15,3
159,-30,409,789,15,3
160,15,273,568,15,3
161,-45,221,495,15,3
162,-30,191,546,15,3
163,-15,377,701,15,1
164,0,265,415,15,3
165,15,275,485,15,3
166,15,252,485,15,3
167,-45,433,604,15,1
168,-45,384,685,15,3
169,15,318,315,15,3
170,-30,223,514,15,1
171,-15,350,562,15,1
172,-30,287,470,15,3
173,15,221,457,15,3
174,0,0,510,15,1
175,-30,366,360,15,3
176,45,284,437,15,1
177,30,252,490,15,1
178,30,385,300,15,3
179,-45,370,421,15,3
180,15,475,457,15,1
181,0,209,560,15,3
182,-15,0,550,15,1
183,-30,288,770,15,1
184,0,236,700,15,1
185,-30,284,463,15,3
186,-45,272,426,15,3
187,0,283,370,15,3
188,30,230,785,15,1
189,15,290,604,15,3
190,0,225,583,15,1
191,-15,0,730,15,1
192,45,303,509,15,1
193,-15,0,767,15,1
194,45,0,524,15,3
195,15,264,300,15,1
196,30,0,463,15,3
197,-15,507,740,15,3
198,45,593,768,15,3
199,-45,289,746,15,1
200,30,383,682,15,3
201,-45,289,671,15,1
202,45,375,576,15,1
203,-30,266,626,15,1
204,15,320,765,15,1
205,30,411,403,15,3
206,-30,183,797,15,3
207,15,266,407,15,3
208,-30,319,573,15,1
209,45,445,362,15,1
210,30,297,715,15,1
211,45,395,435,15,3
212,15,0,623,15,3
213,-30,410,394,15,3
214,30,338,341,15,3
215,30,429,393,15,3
216,45,239,785,15,3
217,-45,334,468,15,3
218,15,285,481,15,3
219,-30,412,693,15,1
220,-45,385,342,15,1
221,15,254,692,15,3
222,-30,285,635,15,1
223,-45,276,567,15,1
224,-15,337,769,15,3
225,15,279,722,15,3
226,-30,282,312,15,3
227,45,345,688,15,1
228,0,276,741,15,3
229,-30,463,758,15,3
230,-15,378,528,15,1
