trial, dist, RT, interstim, Brightness, NumberofLED
1, 30, 0, 416, 20,0
2, -30, 264, 585, 20,0
3, 45, 456, 726, 20,0
4, 0, 243, 678, 20,0
5, 30, 0, 362, 20,0
6, 30, 289, 329, 20,0
7, 30, 375, 464, 20,0
8, 45, 0, 770, 20,0
9, -30, 275, 364, 20,0
10, -45, 0, 473, 20,0
11, -30, 0, 545, 20,0
12, 30, 320, 750, 20,0
13, 15, 298, 637, 20,0
14, -45, 296, 621, 20,0
15, -15, 268, 624, 20,0
16, 30, 0, 744, 20,0
17, 30, 301, 637, 20,0
18, 45, 292, 469, 20,0
19, -30, 371, 551, 20,0
20, -15, 290, 692, 20,0
21, -30, 320, 339, 20,0
22, 45, 247, 531, 20,0
23, -45, 293, 735, 20,0
24, -15, 0, 688, 20,0
25, -45, 0, 451, 20,0
26, 45, 335, 672, 20,0
27, 15, 0, 335, 20,0
28, -30, 338, 716, 20,0
29, 0, 219, 504, 20,0
30, -45, 359, 745, 20,0
31, 15, 334, 514, 20,0
32, 0, 434, 763, 20,0
33, 15, 278, 735, 20,0
34, 0, 189, 505, 20,0
35, 0, 152, 431, 20,0
36, -15, 253, 717, 20,0
37, -45, 447, 443, 20,0
38, 15, 249, 798, 20,0
39, -45, 0, 606, 20,0
40, -15, 259, 558, 20,0
41, 15, 0, 535, 20,0
42, 0, 257, 384, 20,0
43, -30, 329, 783, 20,0
44, -45, 0, 475, 20,0
45, 30, 398, 590, 20,0
46, 45, 426, 798, 20,0
47, -45, 359, 779, 20,0
48, 30, 389, 338, 20,0
49, 45, 316, 301, 20,0
50, -15, 0, 559, 20,0
51, 45, 492, 476, 20,0
52, 30, 362, 753, 20,0
53, 15, 271, 729, 20,0
54, 45, 357, 471, 20,0
55, 30, 294, 547, 20,0
56, 45, 336, 469, 20,0
57, 30, 285, 359, 20,0
58, 30, 333, 751, 20,0
59, -30, 295, 303, 20,0
60, 45, 0, 348, 20,0
61, 15, 0, 335, 20,0
62, 0, 189, 365, 20,0
63, -45, 294, 587, 20,0
64, 0, 220, 662, 20,0
65, 0, 144, 376, 20,0
66, -30, 326, 679, 20,0
67, -15, 0, 762, 20,0
68, 30, 330, 776, 20,0
69, 0, 212, 786, 20,0
