trial,dist,RT,interstim,Brightness,NumberofLED
1,15,377,679,15,1
2,-30,386,772,15,1
3,-15,332,622,15,1
4,15,556,736,15,3
5,0,306,761,15,1
6,0,275,621,15,1
7,0,333,436,15,1
8,0,261,409,15,1
9,-15,423,375,15,3
10,0,371,593,15,3
11,-45,325,742,15,1
12,-45,0,653,15,3
13,45,399,566,15,1
14,-15,352,422,15,1
15,-15,365,779,15,3
16,-30,601,449,15,1
17,30,414,442,15,3
18,15,437,758,15,3
19,30,429,622,15,3
20,45,597,780,15,3
21,0,333,661,15,3
22,45,474,306,15,3
23,45,575,734,15,1
24,30,378,438,15,3
25,15,403,725,15,3
26,30,388,410,15,3
27,-45,363,631,15,3
28,-30,411,415,15,1
29,15,374,481,15,3
30,15,508,499,15,1
31,0,325,412,15,1
32,-30,308,613,15,3
33,45,335,591,15,1
34,-30,523,360,15,1
35,-30,349,329,15,1
36,0,358,704,15,1
37,-30,393,354,15,1
38,30,838,348,15,1
39,15,534,439,15,3
40,-45,453,355,15,3
41,-15,307,728,15,3
42,-45,368,368,15,3
43,-30,275,477,15,3
44,-15,266,692,15,3
45,-30,505,681,15,1
46,0,375,746,15,1
47,15,426,436,15,1
48,-15,294,494,15,3
49,15,417,522,15,1
50,-15,325,435,15,3
51,15,486,636,15,3
52,-30,0,330,15,1
53,0,396,683,15,3
54,-15,294,576,15,3
55,-45,338,423,15,3
56,15,592,639,15,1
57,15,313,330,15,1
58,30,328,621,15,1
59,0,284,752,15,1
60,-15,291,632,15,3
61,30,463,359,15,3
62,45,390,540,15,1
63,30,326,669,15,1
64,-45,564,413,15,1
65,15,598,609,15,3
66,15,392,397,15,1
67,30,489,785,15,3
68,45,689,549,15,1
69,0,330,485,15,1
70,0,333,413,15,3
71,15,439,325,15,3
72,30,424,687,15,3
73,45,462,477,15,3
74,-15,391,396,15,1
75,-15,442,414,15,1
76,45,672,565,15,3
77,-30,391,419,15,3
78,-45,374,729,15,3
79,-15,434,369,15,1
80,45,454,736,15,3
81,-45,546,457,15,1
82,45,640,642,15,3
83,-30,346,460,15,3
84,30,587,339,15,1
85,-15,334,447,15,3
86,-30,290,598,15,3
87,-45,859,700,15,1
88,-30,499,759,15,1
89,-45,620,572,15,1
90,45,526,672,15,3
91,-15,471,583,15,1
92,0,390,350,15,3
93,45,580,780,15,3
94,45,993,386,15,1
95,-30,638,566,15,1
96,15,361,782,15,3
97,-45,420,380,15,3
98,-30,528,399,15,3
99,-45,639,735,15,1
100,-15,405,737,15,3
101,15,343,769,15,3
102,15,370,705,15,3
103,-45,414,460,15,3
104,15,503,544,15,3
105,0,352,736,15,1
106,30,410,389,15,3
107,15,368,642,15,3
108,45,680,402,15,1
109,45,370,349,15,1
110,30,434,758,15,3
111,-45,371,639,15,3
112,45,438,469,15,3
113,30,441,468,15,3
114,-30,689,559,15,1
115,0,349,447,15,3
116,15,416,661,15,3
117,-45,598,526,15,1
118,-45,797,544,15,1
119,30,437,361,15,3
120,-30,468,553,15,1
121,-15,428,448,15,3
122,15,351,586,15,3
123,-45,543,424,15,1
124,-15,359,346,15,3
125,15,358,628,15,3
126,0,282,363,15,3
127,-45,617,471,15,1
128,45,436,619,15,3
129,45,484,601,15,1
130,15,335,334,15,1
131,0,322,331,15,1
132,-30,349,378,15,3
133,-30,561,638,15,1
134,0,270,683,15,1
135,0,416,786,15,3
136,15,486,446,15,3
137,-45,416,696,15,3
138,45,451,760,15,1
139,30,328,673,15,1
140,0,323,576,15,3
141,45,683,728,15,3
142,15,357,605,15,3
143,30,546,595,15,1
144,30,393,328,15,1
145,45,463,451,15,3
146,-15,433,578,15,1
147,-30,547,437,15,1
148,45,640,580,15,3
149,-45,473,418,15,1
150,-30,531,337,15,1
151,30,426,303,15,3
152,-45,555,655,15,3
153,30,559,678,15,1
154,0,423,348,15,3
155,-15,451,311,15,1
156,45,493,406,15,3
157,45,495,396,15,1
158,-15,367,650,15,3
159,15,425,516,15,3
160,30,550,397,15,1
161,-15,487,480,15,1
162,30,526,556,15,1
163,-45,505,312,15,1
164,45,760,385,15,3
165,30,459,538,15,1
166,15,443,441,15,3
167,0,354,625,15,3
168,-45,446,743,15,3
169,0,425,743,15,1
170,15,317,404,15,1
171,-45,421,323,15,3
172,-15,410,588,15,1
173,-30,569,573,15,1
174,30,449,532,15,3
175,-15,337,792,15,3
176,45,555,366,15,3
177,-45,778,790,15,1
178,45,521,432,15,3
179,30,362,556,15,3
180,45,709,349,15,1
181,-30,343,722,15,3
182,30,426,431,15,1
183,30,400,491,15,3
184,0,466,501,15,1
185,-45,680,634,15,1
186,-45,633,681,15,1
187,-15,429,375,15,1
188,15,424,677,15,3
189,45,603,419,15,1
190,30,471,602,15,3
191,-45,373,434,15,3
192,30,456,549,15,3
193,-45,336,774,15,3
194,0,295,491,15,3
195,-30,564,799,15,1
196,0,363,414,15,3
197,0,379,359,15,1
198,-45,548,636,15,1
199,-30,429,486,15,1
200,-15,384,749,15,3
201,0,386,613,15,3
202,-45,567,475,15,1
