trial,dist,RT,interstim,Brightness,NumberofLED
1,-30,266,704,15,1
2,30,0,624,15,3
3,30,368,334,15,1
4,30,0,621,15,3
5,-15,277,400,15,3
6,30,0,466,15,3
7,45,372,320,15,3
8,45,463,440,15,3
9,45,408,467,15,3
10,-45,296,740,15,1
11,-45,363,521,15,3
12,45,386,590,15,1
13,0,283,582,15,3
14,-45,440,528,15,3
15,-15,261,669,15,3
16,-30,310,442,15,3
17,15,212,552,15,3
18,-45,206,441,15,3
19,-30,202,753,15,3
20,-15,320,631,15,1
21,-45,275,462,15,3
22,-45,221,578,15,3
23,-45,222,569,15,3
24,-15,200,678,15,3
25,-45,0,410,15,1
26,15,336,315,15,3
27,-15,216,627,15,1
28,-45,380,495,15,1
29,45,316,701,15,3
30,-45,132,714,15,3
31,45,284,366,15,3
32,-15,273,530,15,3
33,0,249,734,15,3
34,-45,351,456,15,1
35,-15,279,567,15,1
36,30,281,733,15,3
37,-45,298,524,15,1
38,-45,331,441,15,1
39,45,257,302,15,3
40,30,300,428,15,3
41,-15,251,346,15,3
42,-30,149,411,15,3
43,-15,136,662,15,3
44,0,185,461,15,3
45,15,0,714,15,1
46,45,301,411,15,3
47,45,552,793,15,1
48,-45,174,382,15,3
49,-45,0,344,15,1
50,-30,0,686,15,1
51,-15,263,391,15,3
52,45,0,550,15,3
53,30,372,535,15,3
54,-45,350,559,15,1
55,-15,246,635,15,3
56,30,196,693,15,3
57,45,247,343,15,3
58,15,268,322,15,1
59,30,262,317,15,3
60,0,242,587,15,1
61,-30,191,412,15,3
62,15,0,675,15,3
63,-45,0,372,15,1
64,30,361,358,15,1
65,30,366,619,15,1
66,30,355,302,15,1
67,-15,329,359,15,3
68,-45,354,383,15,1
69,-45,400,477,15,3
70,30,386,302,15,3
71,-15,350,332,15,3
72,0,365,352,15,3
73,-30,0,757,15,1
74,-30,302,477,15,3
75,0,212,394,15,1
76,0,253,698,15,3
77,-15,458,414,15,1
78,45,230,380,15,3
79,-45,290,496,15,3
80,-30,323,510,15,1
81,-30,0,608,15,1
82,-15,384,772,15,3
83,-30,211,635,15,3
84,0,247,402,15,1
85,45,328,521,15,1
86,0,306,569,15,3
87,15,345,320,15,1
88,15,233,623,15,1
89,30,202,368,15,1
90,0,200,320,15,3
91,-30,332,421,15,1
92,15,471,463,15,1
93,45,0,354,15,3
94,30,346,549,15,3
95,0,283,558,15,3
96,0,278,390,15,3
97,-30,315,615,15,1
98,30,0,310,15,3
99,30,354,614,15,3
100,15,353,331,15,3
101,15,471,600,15,1
102,30,276,746,15,1
103,15,417,711,15,1
104,-30,408,571,15,1
105,45,384,337,15,3
106,45,423,695,15,1
107,15,391,553,15,3
108,30,403,650,15,3
109,45,568,379,15,1
110,-30,290,565,15,3
111,45,409,374,15,3
112,0,260,418,15,3
113,-30,332,431,15,1
114,-45,225,791,15,3
115,0,322,486,15,1
116,-30,263,721,15,3
117,-45,398,623,15,1
118,0,273,744,15,3
119,-15,383,533,15,1
120,-15,282,606,15,1
121,-45,417,559,15,3
122,-30,289,755,15,3
123,30,329,509,15,1
124,0,242,310,15,3
125,-45,357,761,15,3
126,0,260,497,15,1
127,15,350,450,15,1
128,0,239,700,15,3
129,30,309,440,15,3
130,15,338,677,15,1
131,-30,175,633,15,3
132,-30,366,578,15,1
133,-30,332,403,15,3
134,15,239,381,15,3
135,0,369,611,15,1
136,0,292,784,15,3
137,-15,299,699,15,1
138,15,357,556,15,1
139,30,344,624,15,3
140,-30,313,387,15,1
141,15,287,587,15,3
142,30,0,697,15,1
143,15,361,358,15,1
144,30,332,732,15,1
145,-45,369,591,15,1
146,30,465,628,15,3
147,30,369,674,15,3
148,45,327,720,15,3
149,15,251,724,15,3
150,0,273,404,15,3
151,-45,350,438,15,1
152,-15,354,546,15,3
153,-30,271,447,15,1
154,-30,287,544,15,3
155,-15,324,415,15,3
156,30,194,433,15,1
157,0,230,623,15,3
158,45,300,398,15,3
159,-45,0,526,15,1
160,0,345,728,15,1
161,-15,271,582,15,3
162,-30,331,349,15,3
163,0,247,472,15,3
164,30,293,359,15,3
165,30,253,541,15,3
166,30,0,525,15,1
167,45,315,301,15,3
168,-15,259,327,15,1
169,-15,328,640,15,3
170,-30,312,515,15,1
171,0,339,350,15,1
172,0,280,429,15,1
173,0,238,508,15,1
174,30,339,469,15,3
175,0,301,416,15,1
176,-30,595,613,15,3
177,-15,259,714,15,1
178,30,284,468,15,3
179,-30,331,547,15,3
180,30,231,726,15,3
181,-45,0,564,15,3
182,45,558,637,15,1
183,30,340,400,15,3
184,0,380,569,15,1
185,-45,483,571,15,3
186,45,199,662,15,1
187,15,314,765,15,3
188,45,424,470,15,1
189,0,357,593,15,1
190,-30,225,744,15,3
191,30,237,491,15,1
192,-30,187,636,15,3
193,0,311,325,15,3
194,-45,181,541,15,3
195,45,509,720,15,1
196,-15,634,319,15,1
197,15,237,748,15,1
198,0,283,792,15,1
199,30,269,497,15,1
200,0,704,599,15,1
201,30,285,697,15,1
202,30,415,374,15,3
203,15,349,502,15,1
204,-30,339,534,15,3
205,30,449,649,15,3
206,-15,327,558,15,3
207,0,342,461,15,1
208,-15,431,545,15,1
209,-15,308,575,15,3
210,30,380,651,15,3
211,0,265,741,15,3
212,45,787,418,15,1
213,15,261,321,15,3
214,0,202,682,15,3
215,-30,325,528,15,1
216,0,339,308,15,1
217,45,286,663,15,3
218,45,0,649,15,1
219,-30,437,431,15,1
