trial, dist, RT, interstim, Brightness, NumberofLED
1, -15, 801, 591, 15,0
2, 15, 468, 771, 15,0
3, -45, 441, 679, 15,0
4, 0, 274, 375, 15,0
5, -45, 323, 575, 15,0
6, 0, 405, 493, 15,0
7, -30, 402, 494, 15,0
8, -15, 279, 496, 15,0
9, -45, 491, 777, 15,0
10, 15, 486, 424, 15,0
11, -30, 472, 736, 15,0
12, 15, 477, 778, 15,0
13, 0, 345, 760, 15,0
14, 0, 427, 323, 15,0
15, 15, 368, 303, 15,0
16, 45, 398, 575, 15,0
17, -15, 402, 458, 15,0
18, -45, 388, 530, 15,0
19, -15, 390, 428, 15,0
20, 0, 624, 358, 15,0
21, -15, 466, 655, 15,0
22, 45, 287, 455, 15,0
23, 30, 473, 778, 15,0
24, 15, 357, 719, 15,0
25, -30, 339, 797, 15,0
26, 15, 517, 405, 15,0
27, 15, 589, 667, 15,0
28, -30, 300, 625, 15,0
29, 45, 453, 695, 15,0
30, -30, 451, 699, 15,0
31, -45, 457, 332, 15,0
32, -30, 349, 549, 15,0
33, 0, 226, 518, 15,0
34, 0, 440, 635, 15,0
35, 15, 425, 677, 15,0
36, 30, 419, 462, 15,0
37, 30, 446, 382, 15,0
38, -15, 435, 780, 15,0
39, 0, 260, 629, 15,0
40, 45, 688, 798, 15,0
41, 45, 649, 741, 15,0
42, 0, 209, 467, 15,0
43, 45, 361, 580, 15,0
44, 30, 404, 349, 15,0
45, 45, 345, 552, 15,0
46, 15, 267, 353, 15,0
47, -30, 294, 349, 15,0
48, -15, 408, 585, 15,0
49, -45, 550, 526, 15,0
50, -30, 405, 476, 15,0
51, 0, 218, 659, 15,0
52, -15, 426, 493, 15,0
53, 30, 563, 513, 15,0
54, 0, 381, 681, 15,0
55, -30, 697, 549, 15,0
56, 45, 591, 438, 15,0
57, 45, 0, 481, 15,0
58, 15, 0, 367, 15,0
59, 15, 525, 609, 15,0
60, 45, 560, 382, 15,0
61, 0, 406, 637, 15,0
62, 15, 314, 459, 15,0
63, 0, 0, 488, 15,0
64, -15, 412, 575, 15,0
65, 45, 430, 546, 15,0
66, -45, 0, 412, 15,0
67, 0, 505, 620, 15,0
68, 45, 768, 505, 15,0
69, -45, 459, 499, 15,0
70, -45, 387, 765, 15,0
71, -15, 464, 703, 15,0
72, 30, 503, 783, 15,0
73, 0, 270, 494, 15,0
74, 45, 480, 396, 15,0
75, -15, 373, 658, 15,0
76, 30, 830, 560, 15,0
77, -45, 344, 374, 15,0
78, -45, 323, 631, 15,0
79, 30, 521, 420, 15,0
80, 0, 266, 447, 15,0
81, -30, 470, 632, 15,0
82, 15, 302, 327, 15,0
83, -45, 379, 424, 15,0
84, -45, 474, 665, 15,0
85, -30, 552, 611, 15,0
86, 45, 587, 653, 15,0
87, 30, 288, 755, 15,0
88, 0, 228, 601, 15,0
89, 45, 394, 672, 15,0
90, -15, 459, 744, 15,0
91, -30, 456, 450, 15,0
92, -15, 404, 711, 15,0
93, 45, 520, 384, 15,0
94, 15, 577, 698, 15,0
95, -45, 553, 489, 15,0
96, -45, 369, 467, 15,0
97, 15, 454, 458, 15,0
98, 30, 414, 522, 15,0
99, -30, 361, 799, 15,0
100, -45, 438, 772, 15,0
101, 30, 499, 500, 15,0
102, 30, 493, 591, 15,0
103, -15, 412, 439, 15,0
104, -30, 424, 618, 15,0
105, 0, 0, 325, 15,0
106, 15, 381, 528, 15,0
107, -15, 461, 514, 15,0
108, 0, 307, 518, 15,0
109, 45, 473, 575, 15,0
110, 15, 0, 587, 15,0
111, -15, 331, 475, 15,0
112, -45, 668, 304, 15,0
113, 0, 207, 797, 15,0
114, 0, 205, 623, 15,0
115, -30, 438, 551, 15,0
116, 45, 403, 764, 15,0
117, 45, 415, 351, 15,0
118, 0, 603, 751, 15,0
119, -30, 348, 673, 15,0
120, -30, 410, 678, 15,0
121, -30, 423, 545, 15,0
122, 45, 455, 404, 15,0
123, 45, 416, 641, 15,0
124, -30, 428, 783, 15,0
125, 30, 424, 685, 15,0
126, -15, 398, 590, 15,0
127, 30, 599, 332, 15,0
128, 15, 353, 650, 15,0
129, 45, 471, 360, 15,0
130, 0, 283, 788, 15,0
131, -45, 391, 448, 15,0
132, 15, 395, 694, 15,0
133, -45, 587, 471, 15,0
134, -15, 416, 779, 15,0
135, -15, 0, 653, 15,0
136, -45, 358, 422, 15,0
137, 30, 0, 719, 15,0
138, -15, 470, 649, 15,0
139, 45, 358, 521, 15,0
140, 0, 350, 571, 15,0
141, 45, 431, 632, 15,0
142, 30, 506, 765, 15,0
143, 45, 524, 428, 15,0
144, 45, 444, 553, 15,0
145, 45, 382, 584, 15,0
146, 15, 574, 462, 15,0
147, -30, 398, 675, 15,0
148, -45, 398, 344, 15,0
149, 45, 395, 546, 15,0
150, -15, 417, 516, 15,0
151, 15, 0, 520, 15,0
152, -45, 471, 791, 15,0
153, 45, 412, 686, 15,0
154, -30, 768, 451, 15,0
