trial,dist,RT,interstim,Brightness,NumberofLED
1,15,0,637,15,1
2,-15,248,727,15,3
3,0,263,693,15,1
4,15,254,782,15,1
5,-45,0,545,15,1
6,-15,286,535,15,3
7,-45,338,423,15,1
8,-30,0,726,15,3
9,45,297,598,15,3
10,30,275,768,15,3
11,-30,0,719,15,1
12,-45,428,586,15,1
13,-30,437,641,15,3
14,-15,409,629,15,3
15,30,0,793,15,1
16,-30,218,508,15,1
17,-30,232,641,15,1
18,-30,0,390,15,3
19,45,295,400,15,3
20,30,339,469,15,1
21,-30,235,741,15,3
22,15,267,760,15,1
23,-15,242,788,15,3
24,-15,278,716,15,1
25,15,268,325,15,3
26,-45,318,329,15,1
27,45,252,488,15,3
28,0,270,362,15,3
29,15,297,703,15,3
30,-15,0,347,15,1
31,45,328,659,15,3
32,-15,326,559,15,1
33,-45,336,663,15,1
34,15,285,564,15,3
35,0,260,560,15,3
36,-45,304,576,15,1
37,30,276,569,15,3
38,30,0,622,15,1
39,0,518,478,15,1
40,15,277,442,15,3
41,-45,204,638,15,1
42,-30,278,488,15,1
43,30,624,699,15,1
44,-45,560,718,15,1
45,-15,338,341,15,3
46,45,330,747,15,1
47,-45,389,571,15,3
48,15,0,755,15,1
49,30,316,514,15,3
50,0,336,781,15,1
51,-30,285,307,15,3
52,15,250,603,15,1
53,0,258,607,15,3
54,-30,403,715,15,1
55,30,0,772,15,1
56,45,440,640,15,3
57,15,299,381,15,1
58,15,389,675,15,3
59,15,309,464,15,3
60,0,317,336,15,3
61,30,275,488,15,3
62,15,205,312,15,3
63,-45,359,677,15,3
64,-45,214,770,15,3
65,0,415,607,15,1
66,30,0,496,15,3
67,-45,0,720,15,1
68,15,308,657,15,3
69,15,242,363,15,3
70,-30,291,500,15,3
71,-15,266,674,15,3
72,-45,295,746,15,3
73,-45,334,677,15,1
74,0,319,440,15,1
75,30,354,647,15,1
76,45,367,675,15,3
77,-45,341,570,15,3
78,-45,385,334,15,1
79,0,256,748,15,3
80,15,319,702,15,1
81,-30,302,548,15,3
82,-45,361,648,15,3
83,-15,321,386,15,1
84,15,241,308,15,1
85,-45,309,353,15,3
86,-15,300,572,15,3
87,0,250,648,15,3
88,-15,521,398,15,3
89,30,364,505,15,1
90,45,303,346,15,1
91,30,365,328,15,3
92,-30,217,330,15,3
93,45,212,646,15,1
94,-15,202,396,15,3
95,0,239,429,15,3
96,45,242,685,15,1
97,30,261,720,15,1
98,30,0,724,15,3
99,0,280,528,15,1
100,30,382,454,15,3
101,0,327,529,15,1
102,-15,0,758,15,1
103,45,415,768,15,3
104,-45,292,620,15,1
105,-30,358,720,15,3
106,30,198,718,15,1
107,30,266,571,15,3
108,45,367,453,15,1
109,30,429,587,15,3
110,15,346,490,15,3
111,-45,307,674,15,3
112,45,349,654,15,1
113,15,287,307,15,1
114,45,276,646,15,1
115,-15,372,302,15,1
116,30,342,780,15,3
117,-45,308,314,15,3
118,-45,0,750,15,1
119,15,253,625,15,3
120,45,264,335,15,3
121,0,253,706,15,1
122,15,293,424,15,1
123,30,250,358,15,1
124,-30,185,458,15,3
125,30,178,629,15,1
126,15,364,734,15,3
127,30,377,741,15,3
128,-15,241,579,15,3
129,45,0,547,15,1
130,45,415,492,15,1
131,15,317,534,15,3
132,-30,0,369,15,1
133,30,277,487,15,3
