trial, dist, RT, interstim, Brightness, NumberofLED
1, 30, 283, 337, 20,0
2, 0, 200, 765, 20,0
3, -45, 231, 358, 20,0
4, 45, 289, 364, 20,0
5, -15, 0, 544, 20,0
6, -15, 307, 544, 20,0
7, 45, 269, 337, 20,0
8, -45, 303, 483, 20,0
9, -30, 279, 750, 20,0
10, 45, 332, 513, 20,0
11, -45, 425, 542, 20,0
12, 45, 369, 551, 20,0
13, 30, 286, 780, 20,0
14, 0, 270, 437, 20,0
15, -45, 387, 509, 20,0
16, -15, 209, 479, 20,0
17, 0, 182, 572, 20,0
18, 45, 342, 781, 20,0
19, -15, 300, 408, 20,0
20, 0, 239, 486, 20,0
21, 45, 0, 711, 20,0
22, 45, 538, 456, 20,0
23, -45, 429, 519, 20,0
24, -30, 355, 487, 20,0
25, -30, 251, 709, 20,0
26, 15, 306, 467, 20,0
27, -15, 182, 316, 20,0
28, -30, 231, 351, 20,0
29, 0, 177, 614, 20,0
30, 45, 0, 663, 20,0
31, 45, 360, 431, 20,0
32, -15, 247, 762, 20,0
33, -15, 0, 589, 20,0
34, -15, 0, 790, 20,0
35, 30, 375, 397, 20,0
36, 30, 353, 497, 20,0
37, 0, 226, 678, 20,0
38, 30, 0, 697, 20,0
39, -30, 288, 717, 20,0
40, 45, 319, 608, 20,0
41, -30, 460, 315, 20,0
42, -15, 356, 761, 20,0
43, 15, 237, 681, 20,0
44, 45, 287, 714, 20,0
45, 45, 316, 336, 20,0
46, -45, 304, 614, 20,0
47, 15, 303, 498, 20,0
48, 45, 0, 390, 20,0
49, -30, 272, 708, 20,0
50, -15, 0, 449, 20,0
51, 0, 301, 745, 20,0
52, 45, 325, 563, 20,0
53, 45, 419, 596, 20,0
54, 0, 274, 408, 20,0
55, 0, 261, 339, 20,0
56, -30, 0, 310, 20,0
57, -45, 314, 516, 20,0
58, -15, 449, 492, 20,0
59, -15, 303, 335, 20,0
60, 15, 238, 325, 20,0
61, -45, 0, 343, 20,0
62, 15, 309, 541, 20,0
63, 45, 343, 781, 20,0
64, 15, 278, 628, 20,0
65, 45, 265, 787, 20,0
66, 30, 256, 634, 20,0
67, 30, 305, 652, 20,0
68, 45, 375, 367, 20,0
69, 30, 312, 568, 20,0
70, 0, 222, 656, 20,0
71, 30, 283, 448, 20,0
72, 15, 0, 515, 20,0
73, -45, 338, 717, 20,0
74, -15, 276, 646, 20,0
75, 45, 278, 738, 20,0
